archive.host_country,USA
document.contact_person,Kevin Wood
archive.notes,Images available via API at https://catalog.archives.gov/api/v1/38547962
platform.name,USCG Storis
document.id_within_archive,38547962
document.id_within_archive_type,NARA ID
document.record_type,ships' logs
document.accession_to_archive_date,2016-08-19
document.standardized_region_list,north_atlantic
document.start_date,1957-06-09
document.start_date,1957-09-30
document.rights_statement,CC0 Public Domain
document.notes,
